Which%20song%20previously%20recorded%20by%20Elvis%20Presley%20was%20covered%20by%20UB40%20with%20a%20reggae%20beat%3F,Can%27t%20Help%20Falling%20in%20Love
Which%20of%20the%20following%20songs%20did%20Elton%20John%20perform%20following%20Princess%20Diane%27s%20passing%3F,Candles%20in%20the%20Wind
Irish%20musician%20Hozier%20released%20a%20music%20track%20in%202013%20titled%2C%20%22Take%20Me%20to%20______%22,Church
Pete%20Townshend%20collaborated%20with%20which%20famous%20guitarist%20for%20an%20event%20at%20Brixton%20Academy%20in%201985%3F,David%20Gilmour
Where%20was%20Nicki%20Minaj%20born%3F,Trinidad%20and%20Tobago
Which%20member%20of%20the%20Foo%20Fighters%20was%20previously%20the%20drummer%20for%20Nirvana%3F,Dave%20Grohl
EDM%20record%20label%20Monstercat%20is%20based%20in%20which%20country%3F,Canada
May%2016th%20of%20every%20year%20is%20known%20as%20__________%20Day%2C%20named%20after%20a%20punk%20band%20prominent%20in%20the%201990s.,Lagwagon
Which%20album%20by%20American%20rapper%20Kanye%20West%20contained%20songs%20such%20as%20%22Love%20Lockdown%22%2C%20%22Paranoid%22%20and%20%22Heartless%22%3F,808s%20%26%20Heartbreak
Which%20Toronto%20landmark%20was%20featured%20on%20the%20cover%20art%20of%20Canadian%20rapper%20Drake%27s%202016%20album%20%22Views%22%3F,CN%20Tower
What%20album%20did%20Gorillaz%20release%20in%202017%3F,Humanz
Which%20of%20these%20aliases%20has%20NOT%20been%20used%20by%20electronic%20musician%20Aphex%20Twin%3F,Burial
African-American%20performer%20Sammy%20Davis%20Jr.%20was%20known%20for%20losing%20which%20part%20of%20his%20body%20in%20a%20car%20accident%3F,Left%20Eye
The%201952%20musical%20composition%204%2733%22%2C%20composed%20by%20prolific%20American%20composer%20John%20Cage%2C%20is%20mainly%20comprised%20of%20what%20sound%3F,Silence
Which%20Iron%20Maiden%20album%20did%20the%20song%20%22Dream%20of%20Mirrors%22%20feature%20in%3F,Brave%20New%20World
The%20Proclaimers%20-%20I%27m%20Gonna%20Be%20%28500%20Miles%29%20reached%20what%20position%20on%20the%20US%20Hot%20100%20Charts%20in%201993%3F,3rd
What%20is%20the%20first%20track%20on%20the%20Dave%20Matthews%20Band%20album%20%22Before%20These%20Crowded%20Streets%22%3F,Pantala%20Naga%20Pampa
What%20year%20did%20Dire%20Straits%27s%20Song%20%22Money%20for%20Nothing%22%20release%3F,1985
Who%20sings%20the%20rap%20song%20%22Secret%20Wars%20Part%201%22%3F,The%20Last%20Emperor
What%20is%20rapper%20Drake%27s%20real%20name%3F,Aubrey%20Graham
What%20is%20the%20relationship%20between%20the%20band%20members%20of%20American%20rock%20band%20King%20of%20Leon%3F,Brothers%20%26%20cousins
Which%20of%20the%20following%20is%20not%20a%20studio%20album%20by%20the%20band%20Pink%20Floyd%3F,Moving%20Pictures
The%202011%20movie%20%22The%20Adventures%20of%20Tintin%22%20was%20directed%20by%20Steven%20Spielberg.,True
A%20Facebook%20campaign%20placed%20Rage%20Against%20The%20Machine%27s%20%22Killing%20in%20the%20Name%20Of%22%20as%20the%20UK%20Christmas%20Number%201%20in%202009.,True
Pink%20Guy%27s%20debut%20album%20was%20%22Pink%20Season%22.,False
What%20is%20the%20best%20selling%20album%20of%20all%20time%20from%201976%20to%202018%3F,Thriller
Who%20had%20hits%20in%20the%2070s%20with%20the%20songs%20%22Lonely%20Boy%22%20and%20%22Never%20Let%20Her%20Slip%20Away%22%3F,Andrew%20Gold
What%20album%20did%20Bon%20Iver%20release%20in%202016%3F,22%2C%20A%20Million
Daft%20Punk%20originated%20in%20France.,True
What%20was%20Bon%20Iver%27s%20debut%20album%20released%20in%202007%3F,For%20Emma%2C%20Forever%20Ago
Which%20Beatle%20led%20the%20way%20across%20the%20zebra%20crossing%20on%20the%20Abbey%20Road%20album%20cover%3F,John
Which%20of%20these%20songs%20is%20not%20on%20the%20%22untitled%22%20album%20by%20Led%20Zeppelin%3F,Celebration%20Day
Who%20was%20the%20lead%20singer%20and%20frontman%20of%20rock%20band%20R.E.M%3F,Michael%20Stipe
Which%20of%20the%20following%20is%20an%20album%20by%20punk%20rock%20band%20Anti-Flag%3F,For%20Blood%20And%20Empire
Bj%C3%B6rk%27s%20%22Unison%22%20contains%20a%20sample%20of%20which%20Oval%20song%3F,Aero%20Deck
Which%20group%20performs%20the%20song%20%22Crash%20into%20Me%22%3F,Dave%20Matthews%20Band
Johnny%20Cash%20did%20a%20cover%20of%20this%20song%20written%20by%20lead%20singer%20of%20Nine%20Inch%20Nails%2C%20Trent%20Reznor.,Hurt
The%20song%20%22Caramelldansen%22%20is%20commonly%20mistaken%20as%20a%20Japanese%20song%2C%20what%20language%20is%20the%20song%20actually%20sung%20in%3F,Swedish
Which%20Beatles%20album%20does%20NOT%20feature%20any%20of%20the%20band%20members%20on%20it%27s%20cover%3F,The%20Beatles%20%28White%20Album%29
What%20year%20was%20Red%20Hot%20Chill%20Pepper%27s%20album%20%22Californication%22%20released%3F,1999
Who%20is%20the%20primary%20lyricist%20for%20Canadian%20progressive%20rock%20band%20Rush%3F,Neil%20Peart
Pamina%20and%20Papageno%20are%20characters%20in%20what%20Mozart%20opera%3F,The%20Magic%20Flute
Ashley%20Frangipane%20performs%20under%20the%20stage%20name%20Halsey.,True
For%20his%20performance%20at%20ComplexCon%202016%20in%20Long%20Beach%2C%20California%2C%20Skrillex%20revived%20his%20%22Mothership%22%20set%20piece%20for%20one%20night%20only.,True
What%20was%20Rage%20Against%20the%20Machine%27s%20debut%20album%3F,Rage%20Against%20the%20Machine
What%20was%20the%20best%20selling%20album%20of%202015%3F,Adele%2C%2025
What%20was%20the%20name%20of%20the%20hip%20hop%20group%20Kanye%20West%20was%20a%20member%20of%20in%20the%20late%2090s%3F,The%20Go-Getters
