What%20is%20the%20largest%20city%20and%20commercial%20capital%20of%20Sri%20Lanka%3F,Colombo
Rhode%20Island%20is%20actually%20located%20on%20the%20US%20mainland%2C%20despite%20its%20name.,True
In%20which%20country%20is%20Tallinn%20located%3F,Estonia
What%27s%20the%20first%20National%20Park%20designated%20in%20the%20United%20States%3F,Yellowstone
What%20is%20the%20official%20national%20language%20of%20Pakistan%3F,Urdu
The%20Pyrenees%20mountains%20are%20located%20on%20the%20border%20of%20which%20two%20countries%3F,France%20and%20Spain
Where%20is%20the%20fast%20food%20chain%20%22Panda%20Express%22%20headquartered%3F,Rosemead%2C%20California
Which%20of%20these%20country%27s%20capitals%20starts%20with%20the%20letter%20B%3F,Lebanon
In%20which%20city%2C%20is%20the%20Big%20Nickel%20located%20in%20Canada%3F,Sudbury%2C%20Ontario
Which%20city%20is%20the%20capital%20of%20the%20United%20States%20of%20America%3F,Washington%20D.C
How%20many%20countries%20does%20the%20United%20States%20share%20a%20land%20border%20with%3F,2
Which%20of%20these%20island%20countries%20is%20located%20in%20the%20Caribbean%3F,Barbados
What%20is%20the%20smallest%20country%20in%20the%20world%3F,Vatican%20City
Which%20of%20these%20countries%20is%20located%20the%20FURTHEST%20away%20from%20the%20South%20China%20Sea%3F,Bangladesh
What%20is%20the%20smallest%20country%20in%20South%20America%20by%20area%3F,Suriname
Which%20Canadian%20province%20has%20Charlottetown%20as%20its%20capital%3F,Prince%20Edward%20Island
Which%20of%20these%20is%20NOT%20a%20province%20in%20China%3F,Yangtze
How%20many%20countries%20does%20Spain%20have%20a%20land%20border%20with%3F,5
Alaska%20is%20the%20largest%20state%20in%20the%20United%20States.,True
Tokyo%20is%20the%20capital%20of%20Japan.,True
Which%20of%20these%20is%20NOT%20an%20island%20that%20is%20part%20of%20the%20Philippines%3F,Java
Bridgetown%20is%20the%20capital%20of%20which%20island%20country%20in%20the%20Carribean%3F,Barbados
What%20is%20the%20official%20German%20name%20of%20the%20Swiss%20Federal%20Railways%3F,Schweizerische%20Bundesbahnen
New%20Haven%20is%20the%20capital%20city%20of%20the%20state%20of%20Connecticut%20in%20the%20United%20States.,False
Which%20US%20state%20has%20the%20highest%20population%3F,California
Hungary%20is%20the%20only%20country%20in%20the%20world%20beginning%20with%20H.,False
Where%20is%20the%20world%27s%20oldest%20still%20operational%20space%20launch%20facility%20located%3F,Kazakhstan
Montreal%20is%20in%20which%20Canadian%20province%3F,Quebec
The%20Alps%20are%20a%20mountain%20range%20on%20which%20continent%3F,Europe
What%20is%20the%20capital%20city%20of%20New%20Zealand%3F,Wellington
What%20is%20the%20capital%20of%20the%20US%20State%20of%20New%20York%3F,Albany
What%20is%20the%20name%20of%20rocky%20region%20that%20spans%20most%20of%20eastern%20Canada%3F,Canadian%20Shield
What%20is%20the%20name%20of%20the%20capital%20of%20Turkey%3F,Ankara
What%20is%20the%20capital%20of%20British%20Columbia%2C%20Canada%3F,Victoria
When%20does%20Finland%20celebrate%20their%20independence%20day%3F,December%206th
