What%20was%20the%20name%20of%20the%20first%20front-wheel-drive%20car%20produced%20by%20Datsun%20%28now%20Nissan%29%3F,Cherry
Which%20of%20these%20is%20NOT%20a%20car%20model%20produced%20by%20Malaysian%20car%20manufacturer%20Proton%3F,Kelisa
The%20majority%20of%20Subaru%20vehicles%20are%20made%20in%20China.,False
Which%20of%20the%20following%20passenger%20jets%20is%20the%20longest%3F,Boeing%20747-8
The%20LS3%20engine%20is%20how%20many%20cubic%20inches%3F,376
In%202014%2C%20over%206%20million%20General%20Motors%20vehicles%20were%20recalled%20due%20to%20what%20critical%20flaw%3F,Faulty%20ignition%20switch
Which%20Audi%20does%20not%20use%20Haldex%20based%20all%20wheel%20drive%20system%3F,Audi%20A8
Which%20of%20the%20following%20car%20models%20has%20been%20badge-engineered%20%28rebadged%29%20the%20most%3F,Isuzu%20Trooper
BMW%20M%20GmbH%20is%20a%20subsidiary%20of%20BMW%20AG%20that%20focuses%20on%20car%20performance.,True
What%20UK%20Train%20does%20NOT%20go%20over%20125MPH%3F,Sprinter
Arriva%20is%20owned%20by%20the%20Deutsche%20Bahn.,True
Which%20one%20of%20the%20following%20is%20NOT%20a%20sub-company%20of%20the%20Volkswagen%20Group%3F,Opel
The%20LS2%20engine%20is%20how%20many%20cubic%20inches%3F,364
Which%20Italian%20city%20is%20home%20of%20the%20car%20manufacturer%20%27Fiat%27%3F,Turin
Which%20of%20the%20following%20countries%20has%20officially%20banned%20the%20civilian%20use%20of%20dash%20cams%20in%20cars%3F,Austria
Which%20Variable%20Valve%20Timing%20technology%20is%20used%20by%20BMW%3F,VANOS
Complete%20the%20following%20analogy%3A%20Audi%20is%20to%20Volkswagen%20as%20Infiniti%20is%20to%20%3F,Nissan
Which%20one%20of%20the%20following%20is%20not%20made%20by%20Ford%3F,Camry
How%20much%20horsepower%20is%20produced%20by%20the%20SD40-2%20Locomotive%3F,3%2C000
What%20kind%20of%20train%20was%20Stepney%2C%20a%20train%20on%20the%20Bluebell%20Railway%20notable%20for%20his%20appearance%20in%20%22The%20Railway%20Series%22%3F,LB%26SCR%20A1X
When%20was%20Cadillac%20founded%3F,1902
The%20LS7%20engine%20is%20how%20many%20cubic%20inches%3F,427
The%20General%20Motors%20EV1%20was%20the%20first%20street-legal%20production%20electric%20vehicle.,False
What%20country%20was%20the%20Trabant%20601%20manufactured%20in%3F,East%20Germany
Which%20one%20is%20NOT%20the%20function%20of%20engine%20oil%20in%20car%20engines%3F,Combustion
Which%20of%20these%20cars%20is%20NOT%20considered%20one%20of%20the%205%20Modern%20Supercars%20by%20Ferrari%3F,Testarossa
Ferrari%20has%20never%20made%20a%20V10%20engine%20for%20any%20of%20its%20cars.,False
What%20is%20the%20name%20of%20Nissan%27s%20most%20popular%20electric%20car%3F,Leaf
Which%20car%20tire%20manufacturer%20is%20famous%20for%20its%20%22P%20Zero%22%20line%3F,Pirelli
Which%20animal%20features%20on%20the%20logo%20for%20Abarth%2C%20the%20motorsport%20division%20of%20Fiat%3F,Scorpion
What%20part%20of%20an%20automobile%20engine%20uses%20lobes%20to%20open%20and%20close%20intake%20and%20exhaust%20valves%2C%20and%20allows%20an%20air%2Ffuel%20mixture%20into%20the%20engine%3F,Camshaft
When%20was%20Tesla%20founded%3F,2003
Which%20supercar%20company%20is%20from%20Sweden%3F,Koenigsegg
Which%20of%20the%20following%20car%20manufacturers%20had%20a%20war%20named%20after%20it%3F,Toyota
The%20snowmobile%20was%20invented%20by%20Canadian%20Joseph-Armand%20Bombardier%20in%201937.,True
Which%20of%20the%20following%20collision%20avoidance%20systems%20helps%20airplanes%20avoid%20colliding%20with%20each%20other%3F,TCAS
What%20engine%20is%20in%20the%20Lexus%20SC400%3F,1UZ-FE
What%20are%20the%20cylinder-like%20parts%20that%20pump%20up%20and%20down%20within%20the%20engine%3F,Pistons
What%20year%20did%20the%20Chevrolet%20LUV%20mini%20truck%20make%20its%20debut%3F,1972
Which%20car%20tire%20manufacturer%20is%20famous%20for%20its%20%22Eagle%22%20brand%20of%20tires%2C%20and%20is%20the%20official%20tire%20supplier%20of%20NASCAR%3F,Goodyear
Volkswagen%27s%20legendary%20VR6%20engine%20has%20cylinders%20positioned%20at%20what%20degree%20angle%3F,15%20Degree
Which%20of%20the%20following%20vehicles%20featured%20a%20full%20glass%20roof%20at%20base%20model%3F,Renault%20Avantime
Which%20car%20is%20the%20first%20mass-produced%20hybrid%20vehicle%3F,Toyota%20Prius
What%20model%20was%20the%20sports%20car%20gifted%20to%20Yuri%20Gagarin%20by%20the%20French%20government%20in%201965%3F,Matra%20Djet
Which%20car%20brand%20does%20NOT%20belong%20to%20General%20Motors%3F,Ford
Which%20of%20these%20companies%20does%20NOT%20manufacture%20motorcycles%3F,Toyota
The%20difference%20between%20the%20lengths%20of%20a%20Boeing%20777-300ER%20and%20an%20Airbus%20A350-1000%20is%20closest%20to%3A,0.1m
What%20car%20manufacturer%20gave%20away%20their%20patent%20for%20the%20seat-belt%20in%20the%20interest%20of%20saving%20lives%3F,Volvo
Bugatti%20was%20an%20Italian%20car%20manufacturer.,False
Which%20car%20manufacturer%20created%20the%20%22Aventador%22%3F,Lamborghini
Where%20are%20the%20cars%20of%20the%20brand%20%22Ferrari%22%20manufactured%3F,Italy
The%20full%20English%20name%20of%20the%20car%20manufacturer%20BMW%20is%20Bavarian%20Motor%20Works,True
What%20do%20the%204%20Rings%20in%20Audi%27s%20Logo%20represent%3F,Previously%20independent%20automobile%20manufacturers
What%20is%20the%20fastest%20road%20legal%20car%20in%20the%20world%3F,Koenigsegg%20Agera%20RS
In%201993%20Swedish%20car%20manufacturer%20Saab%20experimented%20with%20replacing%20the%20steering%20wheel%20with%20a%20joystick%20in%20a%20Saab%209000.,True
When%20BMW%20was%20established%20in%201916%2C%20it%20was%20producing%20automobiles.,False
What%20country%20is%20the%20Hussarya%20supercar%2C%20made%20by%20the%20car%20manufacturer%20%22Arrinera%22%2C%20assembled%20in%3F,Poland
What%20nickname%20was%20given%20to%20Air%20Canada%20Flight%20143%20after%20it%20ran%20out%20of%20fuel%20and%20glided%20to%20safety%20in%201983%3F,Gimli%20Glider
The%20Italian%20automaker%20Lamborghini%20uses%20what%20animal%20as%20its%20logo%3F,Bull
The%20Chevrolet%20Corvette%20has%20always%20been%20made%20exclusively%20with%20V8%20engines%20only.,False
Which%20one%20of%20these%20chassis%20codes%20are%20used%20by%20BMW%203-series%3F,E46
Which%20country%20has%20the%20international%20vehicle%20registration%20letter%20%27A%27%3F,Austria
The%20term%20%22GTO%22%20was%20originated%20by%20Ferrari%3F,True
Which%20Japanese%20company%20is%20the%20world%27s%20largest%20manufacturer%20of%20motorcycles%3F,Honda
Enzo%20Ferrari%20was%20originally%20an%20auto%20racer%20for%20what%20manufacturer%20before%20founding%20his%20own%20car%20company%3F,Alfa%20Romeo
Which%20of%20the%20following%20is%20NOT%20a%20Russian%20car%20manufacturer%3F,BYD
The%20Japanese%20Shinkansen%20beat%20the%20French%20TGV%27s%20speed%20record%20for%20fastest%20electric%20rail%20train.,False
Which%20of%20these%20car%20models%20are%20produced%20by%20Lamborghini%3F,Aventador
Jaguar%20Cars%20was%20previously%20owned%20by%20which%20car%20manfacturer%3F,Ford
Automobiles%20produced%20by%20Tesla%20Motors%20operate%20on%20which%20form%20of%20energy%3F,Electricity
The%20LS1%20engine%20is%20how%20many%20cubic%20inches%3F,346
